trip_number,planet,planet_name,morties_sent,survived,steps_taken,morties_in_citadel,morties_on_planet_jessica,morties_lost
106,0,"""On a Cob"" Planet",2,False,584,310,364,326
107,0,"""On a Cob"" Planet",2,True,585,308,366,326
108,0,"""On a Cob"" Planet",2,True,586,306,368,326
109,0,"""On a Cob"" Planet",2,True,587,304,370,326
110,0,"""On a Cob"" Planet",2,True,588,302,372,326
111,0,"""On a Cob"" Planet",2,False,589,300,372,328
112,0,"""On a Cob"" Planet",2,False,590,298,372,330
113,0,"""On a Cob"" Planet",2,False,591,296,372,332
114,0,"""On a Cob"" Planet",2,True,592,294,374,332
115,0,"""On a Cob"" Planet",2,True,593,292,376,332
116,0,"""On a Cob"" Planet",2,True,594,290,378,332
117,0,"""On a Cob"" Planet",2,True,595,288,380,332
118,0,"""On a Cob"" Planet",2,True,596,286,382,332
119,0,"""On a Cob"" Planet",2,True,597,284,384,332
120,0,"""On a Cob"" Planet",2,True,598,282,386,332
121,0,"""On a Cob"" Planet",2,True,599,280,388,332
122,0,"""On a Cob"" Planet",2,False,600,278,388,334
123,0,"""On a Cob"" Planet",2,False,601,276,388,336
124,0,"""On a Cob"" Planet",2,False,602,274,388,338
125,0,"""On a Cob"" Planet",2,True,603,272,390,338
126,0,"""On a Cob"" Planet",2,True,604,270,392,338
127,0,"""On a Cob"" Planet",2,True,605,268,394,338
128,0,"""On a Cob"" Planet",2,True,606,266,396,338
129,0,"""On a Cob"" Planet",2,True,607,264,398,338
130,0,"""On a Cob"" Planet",2,True,608,262,400,338
131,0,"""On a Cob"" Planet",2,True,609,260,402,338
132,0,"""On a Cob"" Planet",2,False,610,258,402,340
133,0,"""On a Cob"" Planet",2,False,611,256,402,342
134,0,"""On a Cob"" Planet",2,False,612,254,402,344
135,0,"""On a Cob"" Planet",2,False,613,252,402,346
136,0,"""On a Cob"" Planet",2,True,614,250,404,346
137,0,"""On a Cob"" Planet",2,True,615,248,406,346
138,0,"""On a Cob"" Planet",2,True,616,246,408,346
139,0,"""On a Cob"" Planet",2,False,617,244,408,348
140,0,"""On a Cob"" Planet",2,True,618,242,410,348
141,0,"""On a Cob"" Planet",2,True,619,240,412,348
142,0,"""On a Cob"" Planet",2,False,620,238,412,350
143,0,"""On a Cob"" Planet",2,False,621,236,412,352
144,0,"""On a Cob"" Planet",2,False,622,234,412,354
145,0,"""On a Cob"" Planet",2,True,623,232,414,354
146,0,"""On a Cob"" Planet",2,True,624,230,416,354
147,0,"""On a Cob"" Planet",2,True,625,228,418,354
148,0,"""On a Cob"" Planet",2,True,626,226,420,354
149,0,"""On a Cob"" Planet",2,False,627,224,420,356
150,0,"""On a Cob"" Planet",2,False,628,222,420,358
1,1,Cronenberg World,2,True,629,220,422,358
2,1,Cronenberg World,2,True,630,218,424,358
3,1,Cronenberg World,2,True,631,216,426,358
4,1,Cronenberg World,2,True,632,214,428,358
5,1,Cronenberg World,2,True,633,212,430,358
6,1,Cronenberg World,2,True,634,210,432,358
7,1,Cronenberg World,2,True,635,208,434,358
8,1,Cronenberg World,2,True,636,206,436,358
9,1,Cronenberg World,2,False,637,204,436,360
10,1,Cronenberg World,2,False,638,202,436,362
11,1,Cronenberg World,2,False,639,200,436,364
12,1,Cronenberg World,2,False,640,198,436,366
13,1,Cronenberg World,2,False,641,196,436,368
14,1,Cronenberg World,2,False,642,194,436,370
15,1,Cronenberg World,2,False,643,192,436,372
16,1,Cronenberg World,2,False,644,190,436,374
17,1,Cronenberg World,2,False,645,188,436,376
18,1,Cronenberg World,2,False,646,186,436,378
19,1,Cronenberg World,2,True,647,184,438,378
20,1,Cronenberg World,2,True,648,182,440,378
21,1,Cronenberg World,2,False,649,180,440,380
22,1,Cronenberg World,2,True,650,178,442,380
23,1,Cronenberg World,2,True,651,176,444,380
24,1,Cronenberg World,2,True,652,174,446,380
25,1,Cronenberg World,2,True,653,172,448,380
26,1,Cronenberg World,2,True,654,170,450,380
27,1,Cronenberg World,2,True,655,168,452,380
28,1,Cronenberg World,2,True,656,166,454,380
29,1,Cronenberg World,2,True,657,164,456,380
30,1,Cronenberg World,2,False,658,162,456,382
31,1,Cronenberg World,2,True,659,160,458,382
32,1,Cronenberg World,2,False,660,158,458,384
33,1,Cronenberg World,2,False,661,156,458,386
34,1,Cronenberg World,2,False,662,154,458,388
35,1,Cronenberg World,2,False,663,152,458,390
36,1,Cronenberg World,2,False,664,150,458,392
37,1,Cronenberg World,2,False,665,148,458,394
38,1,Cronenberg World,2,True,666,146,460,394
39,1,Cronenberg World,2,False,667,144,460,396
40,1,Cronenberg World,2,True,668,142,462,396
41,1,Cronenberg World,2,True,669,140,464,396
42,1,Cronenberg World,2,True,670,138,466,396
43,1,Cronenberg World,2,True,671,136,468,396
44,1,Cronenberg World,2,True,672,134,470,396
45,1,Cronenberg World,2,True,673,132,472,396
46,1,Cronenberg World,2,True,674,130,474,396
47,1,Cronenberg World,2,True,675,128,476,396
48,1,Cronenberg World,2,True,676,126,478,396
49,1,Cronenberg World,2,True,677,124,480,396
50,1,Cronenberg World,2,True,678,122,482,396
51,1,Cronenberg World,2,False,679,120,482,398
52,1,Cronenberg World,2,False,680,118,482,400
53,1,Cronenberg World,2,False,681,116,482,402
54,1,Cronenberg World,2,False,682,114,482,404
55,1,Cronenberg World,2,False,683,112,482,406
56,1,Cronenberg World,2,False,684,110,482,408
57,1,Cronenberg World,2,False,685,108,482,410
58,1,Cronenberg World,2,True,686,106,484,410
59,1,Cronenberg World,2,False,687,104,484,412
60,1,Cronenberg World,2,False,688,102,484,414
61,1,Cronenberg World,2,True,689,100,486,414
62,1,Cronenberg World,2,True,690,98,488,414
63,1,Cronenberg World,2,True,691,96,490,414
64,1,Cronenberg World,2,True,692,94,492,414
65,1,Cronenberg World,2,True,693,92,494,414
66,1,Cronenberg World,2,True,694,90,496,414
67,1,Cronenberg World,2,True,695,88,498,414
68,1,Cronenberg World,2,True,696,86,500,414
69,1,Cronenberg World,2,True,697,84,502,414
70,1,Cronenberg World,2,False,698,82,502,416
71,1,Cronenberg World,2,False,699,80,502,418
72,1,Cronenberg World,2,True,700,78,504,418
73,1,Cronenberg World,2,False,701,76,504,420
74,1,Cronenberg World,2,False,702,74,504,422
75,1,Cronenberg World,2,False,703,72,504,424
76,1,Cronenberg World,2,False,704,70,504,426
77,1,Cronenberg World,2,False,705,68,504,428
78,1,Cronenberg World,2,False,706,66,504,430
79,1,Cronenberg World,2,False,707,64,504,432
80,1,Cronenberg World,2,True,708,62,506,432
81,1,Cronenberg World,2,True,709,60,508,432
82,1,Cronenberg World,2,True,710,58,510,432
83,1,Cronenberg World,2,True,711,56,512,432
84,1,Cronenberg World,2,True,712,54,514,432
85,1,Cronenberg World,2,True,713,52,516,432
86,1,Cronenberg World,2,True,714,50,518,432
87,1,Cronenberg World,2,True,715,48,520,432
88,1,Cronenberg World,2,True,716,46,522,432
89,1,Cronenberg World,2,True,717,44,524,432
90,1,Cronenberg World,2,True,718,42,526,432
91,1,Cronenberg World,2,False,719,40,526,434
92,1,Cronenberg World,2,False,720,38,526,436
93,1,Cronenberg World,2,False,721,36,526,438
94,1,Cronenberg World,2,False,722,34,526,440
95,1,Cronenberg World,2,False,723,32,526,442
96,1,Cronenberg World,2,False,724,30,526,444
97,1,Cronenberg World,2,False,725,28,526,446
98,1,Cronenberg World,2,False,726,26,526,448
99,1,Cronenberg World,2,False,727,24,526,450
100,1,Cronenberg World,2,True,728,22,528,450
101,1,Cronenberg World,2,True,729,20,530,450
102,1,Cronenberg World,2,False,730,18,530,452
103,1,Cronenberg World,2,True,731,16,532,452
104,1,Cronenberg World,2,True,732,14,534,452
105,1,Cronenberg World,2,True,733,12,536,452
106,1,Cronenberg World,2,True,734,10,538,452
107,1,Cronenberg World,2,True,735,8,540,452
108,1,Cronenberg World,2,True,736,6,542,452
109,1,Cronenberg World,2,False,737,4,542,454
110,1,Cronenberg World,2,True,738,2,544,454
111,1,Cronenberg World,2,True,739,0,546,454
